id,threadId,historyId,internalDate,labelIds,sizeEstimate,snippet,Message-ID,From,Subject,List-Unsubscribe
16c24ef8cdc74d32,16c24ab7237a0b69,10816956,2019-07-24 13:02:54,"[u'CATEGORY_FORUMS', u'INBOX']",6696,"No longer needed was an AMT issue. — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it on GitHub, or mute the thread.",<2uinc/oars/pull/2094/c514716609@github.com>,Praveenram Balachandar <notifications@github.com>,Re: [2uinc/oars] Add transform codes to GU OARS to match AMT for exports (#2094),"<mailto:unsub+AEUTRUOVSIABYOP7P7O6Y353IXA35EVBNHHBYJ5CUQ@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUI36XU2GD3UA3ANUFTQBCDL5ANCNFSM4IGROUHA>"
16c24ef63be2b3c0,16c24ab7237a0b69,10816956,2019-07-24 13:02:43,"[u'CATEGORY_FORUMS', u'INBOX']",7045,"Closed #2094. — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it on GitHub, or mute the thread.",<2uinc/oars/pull/2094/issue_event/2507014949@github.com>,Praveenram Balachandar <notifications@github.com>,Re: [2uinc/oars] Add transform codes to GU OARS to match AMT for exports (#2094),"<mailto:unsub+AEUTRULXXE6XOYHV6WDSDMN3IXA3HEVBNHHBYJ5CUQ@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUIJESIF2FDWYC3GA53QBCDLHANCNFSM4IGROUHA>"
16c24b79b4fca001,16c24ab7237a0b69,10816956,2019-07-24 12:01:47,"[u'CATEGORY_FORUMS', u'INBOX']",6885,"@linstantnoodles approved this pull request. great i guess just separate task to update check — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it",<2uinc/oars/pull/2094/review/266125513@github.com>,"""Alan L."" <notifications@github.com>",Re: [2uinc/oars] Add transform codes to GU OARS to match AMT for exports (#2094),"<mailto:unsub+AEUTRUJ22P3YBTND5D3MEN53IWZWXEVBNHHBYJ5CUQ@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUIR22QTGDCHZWTJIETQBB4GXANCNFSM4IGROUHA>"
16c24af1584573cd,16c24ab7237a0b69,10816956,2019-07-24 11:52:29,"[u'CATEGORY_FORUMS', u'INBOX']",7136,"@cjunks94 approved this pull request. 👍 — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it on GitHub, or mute the thread.",<2uinc/oars/pull/2094/review/266119321@github.com>,chris junker <notifications@github.com>,Re: [2uinc/oars] Add transform codes to GU OARS to match AMT for exports (#2094),"<mailto:unsub+AEUTRUIVVDKOBEV4T4SLZZ53IWYT3EVBNHHBYJ5CUQ@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUJKBJVHAMLZ65R2UI3QBB3D3ANCNFSM4IGROUHA>"
16c24ab7237a0b69,16c24ab7237a0b69,10816956,2019-07-24 11:48:31,"[u'CATEGORY_FORUMS', u'INBOX']",7762,"Uhh, exports for GU are failing because of this. We need to nuke the transform codes in OARS at some point, soon. You can view, comment on, or merge this pull request online at: https://github.com/",<2uinc/oars/pull/2094@github.com>,Praveenram Balachandar <notifications@github.com>,[2uinc/oars] Add transform codes to GU OARS to match AMT for exports (#2094),"<mailto:unsub+AEUTRUKSSKIM5HB7374TW3N3IWYE7EVBNHHBYJ5CUQ@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUIYUWNESLLNBXXMF23QBB2U7ANCNFSM4IGROUHA>"
16c2427a0b27ddf2,16c24253e1a30d9f,10558657,2019-07-24 09:24:32,"[u'UNREAD', u'CATEGORY_FORUMS', u'INBOX']",7146,"Merged #103 into master. — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it on GitHub, or mute the thread.",<2uinc/torrential/pull/103/issue_event/2506313852@github.com>,David Wolf <notifications@github.com>,Re: [2uinc/torrential] scale can never be larger than the overall precision... (#103),"<mailto:unsub+AEUTRUJMQ3VLQTTGZDAZ63V3IWHJBEVBNHHBYJTNXI@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRULKTMIUM7QNY7LCJD3QBBJZBANCNFSM4IGQAECA>"
16c242672d0b059b,16c24253e1a30d9f,10558657,2019-07-24 09:23:14,"[u'UNREAD', u'CATEGORY_FORUMS', u'INBOX']",6845,"@cscetbon approved this pull request. — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it on GitHub, or mute the thread.",<2uinc/torrential/pull/103/review/266015042@github.com>,Cyril Scetbon <notifications@github.com>,Re: [2uinc/torrential] scale can never be larger than the overall precision... (#103),"<mailto:unsub+AEUTRULFELTW2WXNPB7CPC53IWHEFEVBNHHBYJTNXI@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUMTATSE7G2Z63JNELTQBBJUFANCNFSM4IGQAECA>"
16c24253e1a30d9f,16c24253e1a30d9f,10558657,2019-07-24 09:21:56,"[u'UNREAD', u'CATEGORY_FORUMS', u'INBOX']",7890,"Handles the case where a numeric field has a precision defined but no scale, which can apparently happen. For now it just sets it to 0. You can view, comment on, or merge this pull request online at:",<2uinc/torrential/pull/103@github.com>,David Wolf <notifications@github.com>,[2uinc/torrential] scale can never be larger than the overall precision... (#103),"<mailto:unsub+AEUTRUNJKJFO7AD7R6STDN53IWG7JEVBNHHBYJTNXI@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUL4DDYBAA2MXCJQ5ILQBBJPJANCNFSM4IGQAECA>"
16c20c3f07718623,16c20c338505cb15,10550816,2019-07-23 17:36:47,"[u'UNREAD', u'CATEGORY_FORUMS', u'INBOX']",7108,"Merged #2092 into rc_pep-psy-asrd-2248-2405. — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it on GitHub, or mute the thread.",<2uinc/oars/pull/2092/issue_event/2504494800@github.com>,Lawrence Wachira <notifications@github.com>,Re: [2uinc/oars] [ASRD-2248] pep-psy: add recommendation type to rec GG mapping (#2092),"<mailto:unsub+AEUTRUNSL6W7ESBJB5ZYUTV3ISYG7EVBNHHBYINBTA@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUI6VEFTVQBRWPJIQOTQA52W7ANCNFSM4IGJYOEA>"
16c20c338505cb15,16c20c338505cb15,10550816,2019-07-23 17:36:00,"[u'UNREAD', u'CATEGORY_FORUMS', u'INBOX']",8158,"Update app pdf template with new recommender type question You can view, comment on, or merge this pull request online at: https://github.com/2uinc/oars/pull/2092 Commit Summary [ASRD-2248] pep-psy:",<2uinc/oars/pull/2092@github.com>,Lawrence Wachira <notifications@github.com>,[2uinc/oars] [ASRD-2248] pep-psy: add recommendation type to rec GG mapping (#2092),"<mailto:unsub+AEUTRUM6JJIOOLFYU6IXFBN3ISYEBEVBNHHBYINBTA@reply.github.com>, <https://github.com/notifications/unsubscribe/AEUTRUOJXKHG3KQ7JGCIFZ3QA52UBANCNFSM4IGJYOEA>"
